id,title,type,release_year,age_certification,runtime,imdb_score,imdb_votes
tm89684,New York Minute,MOVIE,2004,PG,87,4.8,23307
ts31514,Strawberry Shortcake,SHOW,2003,TV-Y,23,7,13
ts22005,Total Drama Island,SHOW,2007,TV-PG,23,7.4,10523
tm183963,Dreamer: Inspired By a True Story,MOVIE,2005,PG,106,6.8,13034
tm27268,Monster House,MOVIE,2006,PG,91,6.6,114942
tm81270,Starsky & Hutch,MOVIE,2004,PG-13,101,6.1,145981
tm137342,Tears of the Sun,MOVIE,2003,R,121,6.6,121066
ts21688,Boys Over Flowers,SHOW,2009,TV-14,64,7.9,11579
ts22318,Winx Club,SHOW,2004,TV-G,23,6.2,6700
tm161263,The Cave,MOVIE,2005,PG-13,97,5.1,38445
ts12815,Big Time Rush,SHOW,2009,TV-G,25,6.3,12046
tm26638,The Texas Chainsaw Massacre: The Beginning,MOVIE,2006,R,91,5.8,72366
tm55303,I Am Sam,MOVIE,2001,PG-13,132,7.6,149082
tm31189,The Spiderwick Chronicles,MOVIE,2008,PG,96,6.5,94628
tm165593,Rumor Has It...,MOVIE,2005,PG-13,97,5.5,57894
ts15986,Dead Set,SHOW,2008,TV-MA,141,7.6,19684
ts26322,Toradora!,SHOW,2008,TV-14,30,8,14307
tm78767,I Now Pronounce You Chuck & Larry,MOVIE,2007,PG-13,115,5.9,146625
tm36644,World Trade Center,MOVIE,2006,PG-13,129,6,83129
tm77649,Premonition,MOVIE,2007,PG-13,96,5.9,78119
ts33559,Shaun the Sheep,SHOW,2007,TV-G,7,8,25
tm33113,Eagle Eye,MOVIE,2008,PG-13,118,6.6,185430
tm43399,Lagaan: Once Upon a Time in India,MOVIE,2001,PG,224,8.1,111053
tm147211,The Men Who Stare at Goats,MOVIE,2009,R,94,6.2,131564
ts56549,Scare Tactics,SHOW,2003,TV-14,22,6.7,2512
tm29555,Friends with Money,MOVIE,2006,R,88,5.8,30186
tm93225,Legend of the Guardians: The Owls of Ga'Hoole,MOVIE,2010,PG,100,6.9,82623
ts20398,Kath & Kim,SHOW,2002,,24,8.3,4168
tm86189,Good Luck Chuck,MOVIE,2007,,101,5.6,89755
ts21421,Pocoyo,SHOW,2005,TV-G,11,3.9,93
tm104880,Louis C.K.: Hilarious,MOVIE,2010,,84,8.4,11973
tm101334,Death at a Funeral,MOVIE,2010,R,92,5.6,49599
tm135451,Gifted Hands: The Ben Carson Story,MOVIE,2009,,86,7.6,10210
ts20526,The Game,SHOW,2006,TV-14,22,6.6,4417
ts30083,Angel Beats!,SHOW,2010,TV-14,26,7.7,13848
tm141707,Blood and Bone,MOVIE,2009,R,93,6.7,33051
tm103095,Ip Man 2,MOVIE,2010,R,108,7.5,103673
ts23835,Masha and the Bear,SHOW,2009,TV-Y,6,7.6,3114
tm83786,Like Stars on Earth,MOVIE,2007,PG,165,8.3,188234
ts23808,Monty Python: Almost the Truth (The Lawyer's Cut),SHOW,2009,TV-MA,55,8.1,1740
ts27459,The Legend of Bruce Lee,SHOW,2008,,45,7,1422
ts20544,Ouran High School Host Club,SHOW,2006,TV-14,23,8.2,9763
tm27168,Felon,MOVIE,2008,R,103,7.4,78039
